companyid,company,No. of followers,Industry,No. of Employees
C1,Huntover4u,886,Human Resources,1-11
C2,Auretics Limited,108,Retail,201-500
C3,GMR Group,207859,Construction,"5,001-10,000"
C4,Spirale HR Solutions Pvt Ltd,1378,Human Resources,51-200
C5,CEDCOSS Technologies Private Limited,20299,Computer Software,"1,001-5,000"
C6,PwC India,1004230,Management Consulting,"5,001-10,000"
C7,UKB Electronics Pvt. Ltd.,14765,Electrical & Electronics Manufacturing,"1,001-5,000"
C8,CADILA HEALTHCARE LTD,8976,Pharmaceuticals,201-500
C9,Jio,914925,Telecommunications,"10,001+"
C10,Siemens Energy,1097939,Renewables & Environment,"10,001+"
C11,Testbook,112202,E-learning,"501-1,000"
C12,Airports Authority of India,58464,Airlines/Aviation,"10,001+"
C13,Paytm,1156752,Financial Services,"10,001+"
C14,Voyants Solutions Private Limited,17615,Civil Engineering,"501-1,000"
C15,Leute Passen,8360,Human Resources,51-200
C16,Inspire consultancy services pvt. ltd,601,Human Resources,1-11
C17,Manoj Enterprise,3,Electrical & Electronics Manufacturing,51-200
C18,L&T Infrastructure Engineering Limited,75964,Civil Engineering,201-500
C19,Pure Oxidane Technology Pvt. Ltd.,3076,Environmental Services,11-05
C20,CADILA HEALTHCARE LTD,8976,Pharmaceuticals,201-500
C21,HCLTech,4552450,Information Technology,Services
C22,Emerson,831452,Mechanical Or Industrial Engineering,"10,001+"
C23,Maruti Suzuki India Limited,666027,Automotive,"10,001+"
C24,Belora Cosmetics,31906,Cosmetics,1-11
C25,Vistara - TATA SIA Airlines Ltd.,391915,Airlines/Aviation,"1,001-5,000"
C26,Artha Group,27482,Financial Services,1-11
C27,Astral Pipes,39921,Construction,"1,001-5,000"
C28,Astral Pipes,39921,Construction,"1,001-5,000"
C29,Pickaboo.in,24,Apparel & Fashion,2-10
C30,Paytm Payments Bank,108734,Banking,"1,001-5,000"
C31,American India Foundation,77420,Non-profit Organization Management,51-200
C32,EYE MANTRA,78,Medical Practice,
C33,Paytm Payments Bank,108734,Banking,"1,001-5,000"
C34,YES BANK,800549,Banking,"10,001+"
C35,udaan.com,562180,Computer Software,"1,001-5,000"
C36,Huptech HR Solutions,7042,Staffing & Recruiting,1-11
C37,Merito.in,9261,Staffing & Recruiting,2-10
C38,Deutsche Bank,1855137,Financial Services,"10,001+"
C39,SourceMash,1972,Information Technology,51-200
C40,Paytm,1156753,Financial Services,"10,001+"
C41,Pidilite Industries Limited,432021,Consumer Goods,"1,001-5,000"
C42,Crocs,64778,Consumer Goods,"1,001-5,000"
C43,CEDCOSS Technologies Private Limited,20299,Computer Software,"1,001-5,000"
C44,PepsiCo,7067303,Food & Beverages,"10,001+"
C45,Paytm Payments Bank,108734,Banking,"1,001-5,000"
C46,Nira Global Networks,218,Information Technology,
C47,Rojgar Connection,162,Staffing & Recruiting,51-200
C48,NavBharat Today,326,Online Media,51-200
C49,H&M,2281989,Retail,"10,001+"
C50,Cartier,949225,Luxury Goods & Jewelry,"5,001-10,000"
C51,Bajaj Electricals Ltd,256502,Consumer Electronics,"1,001-5,000"
C52,Unilever,18494282,Consumer Goods,"10,001+"
C53,adidas,3235493,Sporting Goods,"10,001+"
C54,Zigsaw,73247,Staffing & Recruiting,1-11
C55,CodersBrain,53018,Information Technology,
C56,Shell,6186653,Oil & Energy,"10,001+"
C57,Translate By Humans,3727,Translation & Localization,
C58,Flipkart,3233890,Computer Software,"10,001+"
C59,Groupon,342787,Computer Software,"1,001-5,000"
C60,KPMG India,1491078,Management Consulting,"10,001+"
C61,Airport Authority Of India,17097,Aviation & Aerospace,"5,001-10,000"
C62,Unilever,18494284,Consumer Goods,"10,001+"
C63,Infosys BPM,866589,Information Technology,"10,001+"
C64,Thoughtful Minds Web Services Pvt. Ltd.,1047,Writing & Editing,51-200
C65,Airports Authority of India,58464,Airlines/Aviation,"10,001+"
C66,IndiGo (InterGlobe Aviation Ltd),416563,Airlines/Aviation,"10,001+"
C67,TalVest Consultancy LLP,5,Staffing & Recruiting,51-200
C68,Mahindra Group,1151018,Executive Office,"10,001+"
C69,AICS Consultancy Service Pvt. Ltd.,12174,Staffing & Recruiting,51-200
C70,Airports Authority of India,58464,Airlines/Aviation,"10,001+"
C71,The Phoenix Mills Ltd.,24173,Real Estate,"501-1,000"
C72,Airports Authority of India,58464,Airlines/Aviation,"10,001+"
C73,Bedford County Airport,15,Aviation & Aerospace,2-10
C74,ellementry,1885,Retail,51-200
C75,BSCPL Infrastructure Limited,4063,Construction,0-1
C76,ClearFeed,2937,Computer Software,1-11
C77,Vistara - TATA SIA Airlines Ltd.,391915,Airlines/Aviation,"1,001-5,000"
C78,LeadSquared,206160,Computer Software,"1,001-5,000"
C79,Mahindra Group,1151018,Executive Office,"10,001+"
C80,Acme Services,136487,Human Resources,51-200
C81,IndiGo (InterGlobe Aviation Ltd),416563,Airlines/Aviation,"10,001+"
C82,Godrej Agrovet Limited,179143,Farming,"1,001-5,000"
C83,Indian Oil Corporation Limited,280777,Oil & Energy,"10,001+"
C84,BMW Deutsche Motoren,8873,Automotive,201-500
C85,Qatar Airways,1970928,Airlines/Aviation,"10,001+"
C86,Godrej Properties Limited,433787,Real Estate,"1,001-5,000"
C87,SrinSoft Technologies,14946,Information Technology,Services
C88,Greenko Group,29077,Renewables & Environme,"1,001-5,000"
C89,Godrej Properties Limited,433788,Real Estate,"1,001-5,000"
C90,IndiGo (InterGlobe Aviation Ltd),416563,Airlines/Aviation,"10,001+"
C91,Zensar Technologies,544749,Information Technology,"5,001-10,000"
C92,Antal International,650598,Staffing & Recruiting,"1,001-5,000"
C93,Navin Group,2018,Logistics & Supply Cha,"1,001-5,000"
C94,L'Oréal,4390040,Cosmetics,"10,001+"
C95,Tech Mahindra Business Services,44071,Information Technology,"Services                  5,0"
C96,Neuway Innovations Pvt Ltd,179,Architecture & Planning,51-200
C97,BharatPe,150350,Financial Services,201-500
C98,Tech Mahindra,4215854,Information Technology,"10,001+"
C99,Manali Engineering India,366,Mechanical Or Industrial Engineering,1-11
C100,YES BANK,800555,Banking,"10,001+"
C101,Airport Authority Of India,17097,Aviation & Aerospace,"5,001-10,000"
C102,Navin Group,2018,Logistics & Supply Cha,"1,001-5,"
C103,Navin Group,2018,Logistics & Supply Cha,"1,001-5,"
C104,Pramoda Rebar (P) Ltd,684,Civil Engineering,51-200
C105,Maruti Suzuki India Limited,666030,Automotive,"10,001+"
C106,SKILHAT BIZSOL LLC,5469,Marketing & Advertisin,51-20
C107,Zigsaw,73249,Staffing & Recruiting,1-11
C108,Vijaya Management Consultants,9,Staffing & Recruiting,11-05
C109,Vistara - TATA SIA Airlines Ltd.,391915,Airlines/Aviation,"1,001-5,000"
C110,Home To Native,20,Apparel & Fashion,
C111,IndiGo (InterGlobe Aviation Ltd),416563,Airlines/Aviation,"10,001+"
C112,GE Aerospace,885105,Aviation & Aerospace,"10,001+"
C113,IndiGo (InterGlobe Aviation Ltd),416564,Airlines/Aviation,"10,001+"
C114,Vistara - TATA SIA Airlines Ltd.,391915,Airlines/Aviation,"1,001-5,000"
C115,Webkul,22162,Information Technology,Services
C116,The Coca-Cola Company,7169434,Food & Beverages,"10,001+"
C117,Hiring Heads,385,Staffing & Recruiting,11-05
C118,Wipro,6736678,Information Technology,"10,001+"
C119,Tata Consultancy Services,12000082,Information Technology,"10,001+"
C120,Wipro,6736678,Information Technology,"10,001+"
C121,Go Digit General Insurance Ltd,2593,Insurance,"1,001-5,000"
C122,Apis India Ltd,2546,Food & Beverages,"1,001-5,000"
C123,CHANEL,2106689,Luxury Goods & Jewelry,"10,001+"
C124,UPS,1654209,Transportation/Truckin,"10,001+"
C125,Xiaomi India,192333,Computer Software,"501-1,000"
C126,Disha Consultant,1341,Human Resources,2-10
C127,Haze-Busting Consultancy Services,1791,Consumer Services,1-11
C128,Alchemyjob,3,Consumer Services,51-200
C129,Oracle,8756382,Information Technology,"10,001+"
C130,Britannia Industries Limited,965067,Consumer Goods,"1,001-5,000"
C131,Livspace,306528,Computer Software,"1,001-5,000"
C132,Recruitment Experts,167,Staffing & Recruiting,2-01
C133,Indira IVF Group,8817,Hospital & Health Care,"1,001-5,000"
C134,Talent Corner HR Services Pvt Ltd,128614,Management Consulting,51-200
C135,Haze-Busting Consultancy Services,1791,Consumer Services,1-11
C136,Astral Pipes,39921,Construction,"1,001-5,000"
C137,Astral Pipes,39921,Construction,"1,001-5,000"
C138,Network18 Media & Investments Limited,211330,Media Production,"5,001-10,000"
C139,_Royal_,4033,Farming,"5,001-10,000"
C140,Paytm Payments Bank,108734,Banking,"1,001-5,000"
C141,INDIAN SCHOOL OF BUSINESS MANAGEMENT AND ADMINISTRATION,15215,Education Management,"501-1,000"
C142,RGF Professional Recruitment,32434,Staffing & Recruiting,51-200
C143,PwC India,1004247,Management Consulting,"5,001-10,000"
C144,IndiGo (InterGlobe Aviation Ltd),416565,Airlines/Aviation,"10,001+"
C145,eFeed,1954,Farming,2-10
C146,JOBSCLICK,718,Human Resources,1-11
C147,Desire Consultancy Services,189,#VALUE!,
C148,Capital Placement Services Gurgaon Delhi Noida Manesar Bawal Neemrana Bhiwadi Sohna Road,13678,Staffing & Recruiting,1-11
C149,KIOCL Limited,929,Mining & Metals,"501-1,000"
C150,IndiGo (InterGlobe Aviation Ltd),416565,Airlines/Aviation,"10,001+"
C151,Vistara - TATA SIA Airlines Ltd.,391917,Airlines/Aviation,"1,001-5,000"
C152,Matic Solutions,1724,Information Technology,Services
C153,Siddhivinayak Group,353,Real Estate,51-200
C154,Balj Services Private Limited,1200,Information Technology,1-11
C155,Opal Healthcare,11721,Hospital & Health Care,"5,001-10,000"
C156,Vantiva,7194,Telecommunications,"1,001-5,000"
C157,PwC India,1004248,Management Consulting,"5,001-10,000"
C158,Haze-Busting Consultancy Services,1791,Consumer Services,1-11
C159,Talent Zone Consultant,3348,Human Resources,1-11
C160,Paytm Payments Bank,108734,Banking,"1,001-5,000"
C161,HCLTech,4552479,Information Technology,Services
C162,Spirale HR Solutions Pvt Ltd,1378,Human Resources,51-200
C163,FrugalTesting,3568,Information Technology,1-11
C164,Genpact,2520481,Information Technology,"10,001+"
C165,Welspun Group,224960,Textiles,"10,001+"
C166,Shreeji Industries,607,Mechanical Or Industri,1-11
C167,i-Lanam Technologies,2112,Information Technology,1-11
C168,The Digital Socialite,1151,Information Technology,1-11
C169,Alom Poly Extrusions Ltd.,1490,Plastics,"501-1,000"
C170,Paytm,1156773,Financial Services,"10,001+"
C171,Wipro,6736706,Information Technology,"10,001+"
C172,_Royal_,4033,Farming,"5,001-10,000"
C173,Google,27838744,Computer Software,"10,001+"
C174,Shital Plastic,2,Electrical & Electronics Manufacturing,1-11
C175,Cleartrip,188049,"Leisure, Travel & Tourism","501-1,000"
C176,Regalo Kitchens Pvt. Ltd,22679,Furniture,201-500
C177,Shell,6186672,Oil & Energy,"10,001+"
C178,Alliance Recruitment Agency,23808,Human Resources,51-200
C179,GlobalSignIn Pte Ltd,2606,Information Technology,51-200
C180,Livspace,306529,Computer Software,"1,001-5,000"
C181,Welspun Group,224962,Textiles,"10,001+"
C182,JPMorgan Chase & Co.,3680296,Financial Services,"10,001+"
C183,Hyatt Regency,403443,Hospitality,"10,001+"
C184,UBS,1290043,Financial Services,"10,001+"
C185,Galentic Pharma (India) Pvt. Ltd.,7843,Pharmaceuticals,201-500
C186,"Glan Management Consultancy- Career, Jobs, Hiring",6383,Staffing & Recruiting,2-01
C187,Conscious Foundation,7623,Information Technology,1-11
C188,Nira Global Networks,219,Information Technology,1-11
C189,Raj Textiles,59,Apparel & Fashion,1-11
C190,PwC India,1004254,Management Consulting,"5,001-10,000"
C191,Cleartrip,188049,"Leisure, Travel & Tourism","501-1,000"
C192,HiringHut Solutions Pvt Ltd,1486,Human Resources,51-200
C193,GE Aerospace,885112,Aviation & Aerospace,"10,001+"
C194,Vistara - TATA SIA Airlines Ltd.,391922,Airlines/Aviation,"1,001-5,000"
C195,DEARLIFE EMPOWER INDIA PRIVATE LIMITED,259,Consumer Goods,201-500
C196,Navin Group,2018,Logistics & Supply Cha,"1,001-5,"
C197,The Maayenture Group ✅,2291,Staffing & Recruiting,1-11
C198,Matangi Industries LLP,4801,Chemicals,51-200
C199,Tata Consultancy Services,12000165,Information Technology,"10,001+"
C200,NeetDeep Group,577,Computer Software,51-200
C201,EverData,1440,Information Technology,51-200
C202,Navin Group,2018,Logistics & Supply Cha,"1,001-5,000"
C203,Citi,3994959,Financial Services,"10,001+"
C204,Philip Morris International,1102842,Tobacco,"10,001+"
C205,MediPharma Konnect,10757,Management Consulting,1-11
C206,Mahindra Lifespaces,1921,Real Estate,1-11
