jobid,job_title,detailid,companyid,location
J1,Site Civil Engineer,1,C1,"Delhi, Delhi, India"
J2,Receptionist,2,C2,"Delhi, Delhi, India"
J3,Sr. Engineer - Safety,3,C3,"Hyderabad, Telangana, India"
J4,Store Incharge,4,C4,"Hyderabad, Telangana, India"
J5,Social Media Marketer,5,C5,"Lucknow, Uttar Pradesh, India"
J6,UI/UX Consultant,6,C6,"Jaipur, Rajasthan, India"
J7,Safety Officer,7,C7,"Noida, Uttar Pradesh, India"
J8,Operator - Manufacturing,8,C8,"Ahmedabad, Gujarat, India"
J9,Creative Content Strategist,9,C9,"Mumbai, Maharashtra, India"
J10,"Engineer, Mechanical, Product Design – Centrifugal Compressor",10,C10,"Ahmedabad, Gujarat, India"
J11,Event Manager,11,C11,"Jaipur, Rajasthan, India"
J12,URGENT OPENING IN AIRPORT JOB ✈️,12,C12,"Bhubaneshwar, Odisha, India"
J13,Content Writer - Associate - Paytm Movies,13,C13,"Noida, Uttar Pradesh, India"
J14,AutoCAD Draughtsman- Bridges,14,C14,"Gurgaon, Haryana, India"
J15,Solar Liaisoning Manager (Lucknow),15,C15,"Lucknow, Uttar Pradesh, India"
J16,Head - Manufacturing - Vehicle Assembly,16,C16,"Chennai, Tamil Nadu, India"
J17,Back Office Executive,17,C17,"Ahmedabad, Gujarat, India"
J18,Materials And Process Engineer,18,C18,"Chennai, Tamil Nadu, India"
J19,Autocad Designer,19,C19,"Ahmedabad, Gujarat, India"
J20,Operator - Packing,20,C20,"Ahmedabad, Gujarat, India"
J21,Procurement Manager,21,C21,"Noida, Uttar Pradesh, India"
J22,Test Engineer,22,C22,"Pune, Maharashtra, India"
J23,Buyer,23,C23,"Gurgaon, Haryana, India"
J24,Social Media Executive,24,C24,"Gurgaon, Haryana, India"
J25,Sr. Store Officer,25,C25,"Delhi, Delhi, India"
J26,Front Office Executive,26,C26,"Mumbai, Maharashtra, India"
J27,Quality Control - Supervisor,27,C27,"Ahmedabad, Gujarat, India"
J28,Quality Control - Supervisor,28,C28,"Ahmedabad, Gujarat, India"
J29,Graphic Designer,29,C29,"Hyderabad, Telangana, India"
J30,Frontend Developer (React Js),30,C30,"Noida, Uttar Pradesh, India"
J31,Human Resources Officer,31,C31,"Gurugram, Haryana, India"
J32,IT Support,32,C32,"Delhi, Delhi, India"
J33,DM - Vigilance,33,C33,"Noida, Uttar Pradesh, India"
J34,Deputy Branch Manager,34,C34,"Sanganer, Rajasthan, India"
J35,HR Analytics Specialist Salary 40K,35,C35,"Bengaluru, Karnataka, India"
J36,Web Designer - HTML/CSS/Bootstrap,36,C36,"Ahmedabad, Gujarat, India"
J37,Head HR for a Leading Global School,37,C37,"Pune, Maharashtra, India"
J38,KYC Analyst,38,C38,"Jaipur, Rajasthan, India"
J39,Technical Help Desk,39,C39,"Sahibzada Ajit Singh Nagar, Punjab, India"
J40,Area Collections- Executive Manager,40,C40,"Lucknow, Uttar Pradesh, India"
J41,Regional Logistics & Accounts Manager,41,C41,"Delhi, Delhi, India"
J42,HR Manager,42,C42,"Gurgaon, Haryana, India"
J43,Content Writer,43,C43,"Lucknow, Uttar Pradesh, India"
